hu ai ha
108
bl 48 41
re 20 19
bl 41 34
re 18 17
bl 34 27
re 19 18
bl 62 55
re 18 11
bl 55 48
re 12 13
bl 48 41
re 16 9
bl 41 34
re 13 20
bl 27 26
re 20 19
bl 34 27
re 9 2
bl 27 20
re 11 12
bl 20 27
re 12 13
bl 27 34
re 6 5
bl 34 31
re 14 21
bl 42 35
re 17 18
bl 56 57
re 21 22
bl 31 24
re 18 11
bl 35 28
re 22 21
bl 24 21
re 2 9
bl 21 24
re 9 10
bl 24 17
re 8 9
bl 17 16
re 10 17
bl 16 17
re 0 7
bl 28 21
re 7 14
bl 21 14
re 19 20
bl 17 24
re 20 27
bl 24 31
re 27 20
bl 31 24
re 20 27
bl 24 17
re 27 20
bl 14 7
re 20 27
bl 7 0
re 27 20
bl 0 1
re 20 27
bl 1 8
re 9 2
bl 8 1
re 2 9
bl 1 8
re 9 2
bl 8 9
re 2 1
bl 9 8
re 1 2
bl 57 56
re 27 34
bl 56 49
re 34 41
bl 46 47
re 41 34
bl 49 42
re 34 41
bl 42 35
re 41 34
bl 35 28
re 34 41
bl 28 31
re 13 20
bl 31 34
re 20 27
bl 34 41
re 27 34
bl 41 38
re 34 41
bl 47 46
re 41 48
bl 54 61
re 48 47
bl 46 53
re 47 54
bl 53 52
re 54 53
bl 52 51
re 2 9
bl 8 9
re 53 60
bl 61 60
re 11 10
bl 17 10
re 5 6
bl
**  **  **  **  **  **  ti
**  **  EL  LI  **  **  **
**  **  **  **  **  **  **
**  **  **  **  **  RA  **
**  **  **  **  **  **  **
**  **  **  TI  **  **  **
**  **  WO  **  **  **  **
**  CA  LE  **  **  **  **
**  **  **  **  DO  **  **
blitz 0 242
